Elevator call,4.37472729,0,-1,0,-1
Elevator call,16.95788289,-1,0,0,-1
Elevator call,22.0940563,0,-1,0,-1
Elevator call,85.52096662,3,2,0,-1
Elevator call,91.21019413,-1,-2,0,-1
Elevator call,104.1370124,0,4,0,-1
Elevator call,109.2135291,-1,0,0,-1
Elevator call,114.392351,3,0,0,-1
Elevator call,124.425571,0,9,0,-1
Elevator call,130.0249568,8,10,0,-1
Elevator call,130.2249113,-1,1,0,-1
Elevator call,137.9515274,0,4,0,-1
Elevator call,143.9133584,0,6,0,-1
Elevator call,169.7845834,-1,0,0,-1
Elevator call,170.0099621,0,6,0,-1
Elevator call,171.2117332,-1,8,0,-1
Elevator call,174.8438515,0,-1,0,-1
Elevator call,187.1167862,-1,-2,0,-1
Elevator call,187.7299318,-1,-2,0,-1
Elevator call,195.9086965,0,7,0,-1
Elevator call,197.5359191,-1,1,0,-1
Elevator call,205.9895199,-1,0,0,-1
Elevator call,227.0798305,-1,5,0,-1
Elevator call,231.5157882,-1,0,0,-1
Elevator call,232.9504362,0,-1,0,-1
Elevator call,251.1044469,-1,-2,0,-1
Elevator call,251.2359335,0,9,0,-1
Elevator call,254.6977153,3,4,0,-1
Elevator call,257.7974435,-1,0,0,-1
Elevator call,295.7943357,0,1,0,-1
Elevator call,304.9984388,6,0,0,-1
Elevator call,309.3005383,0,-1,0,-1
Elevator call,312.3018556,0,-1,0,-1
Elevator call,316.0323783,0,-1,0,-1
Elevator call,319.905202,6,5,0,-1
Elevator call,320.9760749,-1,0,0,-1
Elevator call,321.370409,7,-1,0,-1
Elevator call,332.4267319,0,10,0,-1
Elevator call,336.9304305,-1,0,0,-1
Elevator call,375.490481,1,0,0,-1
Elevator call,392.5160765,0,5,0,-1
Elevator call,405.1821141,-1,10,0,-1
Elevator call,426.8615805,2,0,0,-1
Elevator call,437.1711158,1,0,0,-1
Elevator call,472.7445474,10,-1,0,-1
Elevator call,500.3712045,8,-1,0,-1
Elevator call,503.1384784,1,-1,0,-1
Elevator call,504.4317942,0,-1,0,-1
Elevator call,529.6277472,3,-1,0,-1
Elevator call,537.7866884,-1,6,0,-1
Elevator call,544.7880392,6,-1,0,-1
Elevator call,554.0892923,4,0,0,-1
Elevator call,557.244139,10,0,0,-1
Elevator call,565.0195522,0,-1,0,-1
Elevator call,581.870309,0,3,0,-1
Elevator call,596.1232023,8,0,0,-1
Elevator call,600.931288,1,0,0,-1
Elevator call,603.9342327,7,0,0,-1
Elevator call,617.9628339,0,3,0,-1
Elevator call,619.6454197,9,0,0,-1
Elevator call,626.2116172,0,1,0,-1
Elevator call,643.8547515,-1,2,0,-1
Elevator call,660.0732908,6,10,0,-1
Elevator call,661.042082,-1,3,0,-1
Elevator call,662.1730528,-1,5,0,-1
Elevator call,665.1155549,-1,8,0,-1
Elevator call,666.0340295,4,0,0,-1
Elevator call,666.2411587,5,-1,0,-1
Elevator call,672.6773142,0,-1,0,-1
Elevator call,677.7341948,0,-1,0,-1
Elevator call,678.9953585,-1,-2,0,-1
Elevator call,695.2239882,0,10,0,-1
Elevator call,706.1583475,-1,-2,0,-1
Elevator call,710.324977,0,1,0,-1
Elevator call,713.0191971,1,0,0,-1
Elevator call,713.2499766,10,-1,0,-1
Elevator call,722.6161213,10,0,0,-1
Elevator call,727.5146029,-1,0,0,-1
Elevator call,732.9746341,6,-1,0,-1
Elevator call,737.3147202,1,0,0,-1
Elevator call,779.3996914,-1,5,0,-1
Elevator call,805.6754743,-1,-2,0,-1
Elevator call,810.4469089,2,0,0,-1
Elevator call,816.1516998,7,-1,0,-1
Elevator call,825.4575185,7,0,0,-1
Elevator call,839.8525653,0,1,0,-1
Elevator call,854.2002278,6,-1,0,-1
Elevator call,863.8932913,0,-1,0,-1
Elevator call,870.5053024,0,7,0,-1
Elevator call,886.5649993,-1,-2,0,-1
Elevator call,892.5212151,9,-1,0,-1
Elevator call,910.5388559,6,5,0,-1
Elevator call,915.9490575,4,-1,0,-1
Elevator call,933.8580452,7,5,0,-1
Elevator call,961.6862856,6,-1,0,-1
Elevator call,972.8032126,1,0,0,-1
Elevator call,975.8361203,0,-1,0,-1
Elevator call,978.5925149,10,0,0,-1
Elevator call,978.6210501,10,-1,0,-1
Elevator call,984.1840186,7,0,0,-1